image,article,kind,space,config,algo,n,unique,collapse,n_clusters,noise_frac,top_color,top_frac,recall,hits,n_roles,t_dedup_ms,t_core_ms,t_extract_ms,wall_s,ok,error
Spiegel_ChatGPT_03,spiegel_chatgpt,original,lab,hdbscan-sm,hdbscan,50176,22670,2.21,5,0.404,red,0.333,0.75,3,4,2.8,1723.0,0,2.18,1,
Spiegel_ChatGPT_03,spiegel_chatgpt,original,lab,hdbscan-lg,hdbscan,50176,22670,2.21,5,0.4384,red,0.306,0.75,3,4,3.2,1719.8,0,2.17,1,
Spiegel_ChatGPT_03,spiegel_chatgpt,original,lab,shdbscan,shdbscan,50176,22670,2.21,4,0.5005,red,0.382,0.75,3,4,3.2,31979.7,0,32.44,1,
Spiegel_ChatGPT_03,spiegel_chatgpt,original,lab,soptics,soptics,50176,22670,2.21,1,0.0685,red,0.931,0.25,1,4,3.3,3178.4,3.6,3.77,1,
Spiegel_Hoffnung_01,spiegel_hoffnung,original,rgb,optics-thr,optics-threshold,50432,17889,2.82,5,0.0597,black,0.342,0.667,4,6,2.5,241.6,3.0,0.75,1,
Spiegel_Hoffnung_01,spiegel_hoffnung,original,rgb,optics-xi05,optics-xi,50432,17889,2.82,88,0.1349,blue,0.323,0.833,5,6,2.7,242.1,4.1,0.78,1,
Spiegel_Hoffnung_01,spiegel_hoffnung,original,rgb,optics-xi01,optics-xi,50432,17889,2.82,157,0.0233,gray,0.915,0.167,1,6,2.5,240.4,9.0,0.76,1,
Spiegel_Hoffnung_01,spiegel_hoffnung,original,rgb,hdbscan-sm,hdbscan,50432,17889,2.82,7,0.2343,blue,0.332,1.0,6,6,2.5,987.7,0,1.44,1,
Spiegel_Hoffnung_01,spiegel_hoffnung,original,rgb,hdbscan-lg,hdbscan,50432,17889,2.82,7,0.325,blue,0.19,0.833,5,6,2.2,964.7,0,1.38,1,
Spiegel_Hoffnung_01,spiegel_hoffnung,original,rgb,shdbscan,shdbscan,50432,17889,2.82,7,0.3224,blue,0.282,1.0,6,6,2.5,20251.4,0,20.7,1,
Spiegel_Hoffnung_01,spiegel_hoffnung,original,rgb,soptics,soptics,50432,17889,2.82,2,0.0465,gray,0.893,0.167,1,6,2.5,1971.7,3.0,2.45,1,
Spiegel_Hoffnung_01,spiegel_hoffnung,original,lab,optics-thr,optics-threshold,50432,17889,2.82,3,0.0554,blue,0.546,0.5,3,6,2.8,300.7,2.9,0.85,1,
Spiegel_Hoffnung_01,spiegel_hoffnung,original,lab,optics-xi05,optics-xi,50432,17889,2.82,83,0.4958,black,0.104,0.833,5,6,2.7,296.6,3.0,0.82,1,
Spiegel_Hoffnung_01,spiegel_hoffnung,original,lab,optics-xi01,optics-xi,50432,17889,2.82,153,0.3466,white,0.161,0.833,5,6,2.5,297.5,3.5,0.88,1,
Spiegel_Hoffnung_01,spiegel_hoffnung,original,lab,hdbscan-sm,hdbscan,50432,17889,2.82,20,0.3662,blue,0.334,1.0,6,6,2.5,987.6,0,1.48,1,
Spiegel_Hoffnung_01,spiegel_hoffnung,original,lab,hdbscan-lg,hdbscan,50432,17889,2.82,6,0.195,blue,0.325,0.833,5,6,2.4,1137.5,0,1.62,1,
Spiegel_Hoffnung_01,spiegel_hoffnung,original,lab,shdbscan,shdbscan,50432,17889,2.82,7,0.3257,blue,0.29,1.0,6,6,4.0,20987.2,0,21.48,1,
Spiegel_Hoffnung_01,spiegel_hoffnung,original,lab,soptics,soptics,50432,17889,2.82,2,0.0445,gray,0.893,0.167,1,6,2.5,1847.6,3.2,2.41,1,
Spiegel_Hoffnung_02,spiegel_hoffnung,original,rgb,optics-thr,optics-threshold,51200,21946,2.33,3,0.0679,gray,0.68,0.333,2,6,3.1,391.7,3.0,0.92,1,
Spiegel_Hoffnung_02,spiegel_hoffnung,original,rgb,optics-xi05,optics-xi,51200,21946,2.33,74,0.1988,blue,0.277,0.833,5,6,3.7,342.9,3.5,0.88,1,
Spiegel_Hoffnung_02,spiegel_hoffnung,original,rgb,optics-xi01,optics-xi,51200,21946,2.33,169,0.012,gray,0.906,0.167,1,6,2.9,369.9,11.5,0.94,1,
Spiegel_Hoffnung_02,spiegel_hoffnung,original,rgb,hdbscan-sm,hdbscan,51200,21946,2.33,10,0.453,blue,0.146,0.833,5,6,2.9,1510.3,0,1.95,1,
Spiegel_Hoffnung_02,spiegel_hoffnung,original,rgb,hdbscan-lg,hdbscan,51200,21946,2.33,7,0.427,blue,0.157,0.833,5,6,2.8,1662.5,0,2.18,1,
Spiegel_Hoffnung_02,spiegel_hoffnung,original,rgb,shdbscan,shdbscan,51200,21946,2.33,7,0.5476,blue,0.122,0.833,5,6,3.3,30200.9,0,30.71,1,
Spiegel_Hoffnung_02,spiegel_hoffnung,original,rgb,soptics,soptics,51200,21946,2.33,3,0.0531,gray,0.851,0.167,1,6,3.2,2595.0,3.2,3.14,1,
Spiegel_Hoffnung_02,spiegel_hoffnung,original,lab,optics-thr,optics-threshold,51200,21946,2.33,4,0.0519,gray,0.867,0.167,1,6,2.9,499.7,3.0,1.09,1,
Spiegel_Hoffnung_02,spiegel_hoffnung,original,lab,optics-xi05,optics-xi,51200,21946,2.33,69,0.52,black,0.142,0.833,5,6,3.4,499.7,3.2,1.07,1,
Spiegel_Hoffnung_02,spiegel_hoffnung,original,lab,optics-xi01,optics-xi,51200,21946,2.33,115,0.4028,black,0.152,1.0,6,6,2.7,491.2,5.0,1.06,1,
Spiegel_Hoffnung_02,spiegel_hoffnung,original,lab,hdbscan-sm,hdbscan,51200,21946,2.33,15,0.5348,blue,0.137,0.833,5,6,2.9,1510.1,0,2.0,1,
Spiegel_Hoffnung_02,spiegel_hoffnung,original,lab,hdbscan-lg,hdbscan,51200,21946,2.33,6,0.3129,blue,0.277,0.833,5,6,2.9,1635.7,0,2.16,1,
Spiegel_Hoffnung_02,spiegel_hoffnung,original,lab,shdbscan,shdbscan,51200,21946,2.33,10,0.5773,red,0.097,0.667,4,6,3.1,29602.9,0,30.12,1,
Spiegel_Hoffnung_02,spiegel_hoffnung,original,lab,soptics,soptics,51200,21946,2.33,2,0.0585,blue,0.512,0.333,2,6,3.1,2343.3,3.4,2.95,1,
Spiegel_Mutante_01,spiegel_mutante,original,rgb,optics-thr,optics-threshold,51968,12557,4.14,3,0.0437,black,0.903,0.5,2,4,2.1,168.3,2.4,0.69,1,
Spiegel_Mutante_01,spiegel_mutante,original,rgb,optics-xi05,optics-xi,51968,12557,4.14,84,0.0972,black,0.483,1.0,4,4,2.1,166.4,3.5,0.72,1,
Spiegel_Mutante_01,spiegel_mutante,original,rgb,optics-xi01,optics-xi,51968,12557,4.14,132,0.0233,black,0.92,0.5,2,4,2.1,168.3,8.0,0.67,1,
Spiegel_Mutante_01,spiegel_mutante,original,rgb,hdbscan-sm,hdbscan,51968,12557,4.14,8,0.5072,red,0.152,1.0,4,4,2.5,445.1,0,0.87,1,
Spiegel_Mutante_01,spiegel_mutante,original,rgb,hdbscan-lg,hdbscan,51968,12557,4.14,8,0.3991,black,0.232,1.0,4,4,2.1,501.8,0,0.93,1,
Spiegel_Mutante_01,spiegel_mutante,original,rgb,shdbscan,shdbscan,51968,12557,4.14,9,0.6999,red,0.109,1.0,4,4,2.3,11491.7,0,11.96,1,
Spiegel_Mutante_01,spiegel_mutante,original,rgb,soptics,soptics,51968,12557,4.14,4,0.029,black,0.775,0.75,3,4,2.1,1413.2,2.4,1.91,1,
Spiegel_Mutante_01,spiegel_mutante,original,lab,optics-thr,optics-threshold,51968,12557,4.14,3,0.04,black,0.905,0.5,2,4,2.0,242.9,2.3,0.78,1,
Spiegel_Mutante_01,spiegel_mutante,original,lab,optics-xi05,optics-xi,51968,12557,4.14,79,0.3379,black,0.419,0.75,3,4,2.0,240.3,2.6,0.8,1,
Spiegel_Mutante_01,spiegel_mutante,original,lab,optics-xi01,optics-xi,51968,12557,4.14,150,0.1844,black,0.478,1.0,4,4,2.1,243.0,3.2,0.81,1,
Spiegel_Mutante_01,spiegel_mutante,original,lab,hdbscan-sm,hdbscan,51968,12557,4.14,13,0.545,red,0.152,1.0,4,4,2.1,493.1,0,0.98,1,
Spiegel_Mutante_01,spiegel_mutante,original,lab,hdbscan-lg,hdbscan,51968,12557,4.14,7,0.3832,black,0.237,1.0,4,4,2.0,628.7,0,1.14,1,
Spiegel_Mutante_01,spiegel_mutante,original,lab,shdbscan,shdbscan,51968,12557,4.14,16,0.6772,red,0.142,1.0,4,4,2.1,11992.2,0,12.48,1,
Spiegel_Mutante_01,spiegel_mutante,original,lab,soptics,soptics,51968,12557,4.14,4,0.0278,black,0.903,0.5,2,4,2.1,1340.5,2.3,1.87,1,
Spiegel_Mutante_02,spiegel_mutante,original,rgb,optics-thr,optics-threshold,49920,11742,4.25,2,0.0483,black,0.9,0.5,2,4,1.9,152.9,2.4,0.62,1,
Spiegel_Mutante_02,spiegel_mutante,original,rgb,optics-xi05,optics-xi,49920,11742,4.25,90,0.0859,black,0.485,1.0,4,4,1.9,149.2,3.2,0.64,1,
Spiegel_Mutante_02,spiegel_mutante,original,rgb,optics-xi01,optics-xi,49920,11742,4.25,132,0.0303,black,0.91,0.5,2,4,1.9,149.8,7.8,0.61,1,
Spiegel_Mutante_02,spiegel_mutante,original,rgb,hdbscan-sm,hdbscan,49920,11742,4.25,8,0.4737,red,0.151,0.75,3,4,1.9,427.5,0,0.86,1,
Spiegel_Mutante_02,spiegel_mutante,original,rgb,hdbscan-lg,hdbscan,49920,11742,4.25,7,0.3421,black,0.259,1.0,4,4,1.9,515.7,0,0.93,1,
Spiegel_Mutante_02,spiegel_mutante,original,rgb,shdbscan,shdbscan,49920,11742,4.25,10,0.6467,red,0.102,0.75,3,4,1.9,9893.6,0,10.35,1,
Spiegel_Mutante_02,spiegel_mutante,original,rgb,soptics,soptics,49920,11742,4.25,3,0.0297,black,0.906,0.5,2,4,1.9,1291.6,2.5,1.78,1,
Spiegel_Mutante_02,spiegel_mutante,original,lab,optics-thr,optics-threshold,49920,11742,4.25,2,0.0316,black,0.905,0.25,1,4,2.1,288.5,2.2,0.81,1,
Spiegel_Mutante_02,spiegel_mutante,original,lab,optics-xi05,optics-xi,49920,11742,4.25,87,0.3086,black,0.328,1.0,4,4,2.0,292.8,2.9,0.83,1,
Spiegel_Mutante_02,spiegel_mutante,original,lab,optics-xi01,optics-xi,49920,11742,4.25,156,0.1569,black,0.471,1.0,4,4,1.9,293.6,3.1,0.87,1,
Spiegel_Mutante_02,spiegel_mutante,original,lab,hdbscan-sm,hdbscan,49920,11742,4.25,26,0.6322,green,0.074,0.75,3,4,2.1,427.4,0,0.88,1,
Spiegel_Mutante_02,spiegel_mutante,original,lab,hdbscan-lg,hdbscan,49920,11742,4.25,7,0.3534,black,0.261,1.0,4,4,1.9,552.6,0,0.99,1,
Spiegel_Mutante_02,spiegel_mutante,original,lab,shdbscan,shdbscan,49920,11742,4.25,12,0.6734,red,0.121,1.0,4,4,2.0,10569.5,0,11.03,1,
Spiegel_Mutante_02,spiegel_mutante,original,lab,soptics,soptics,49920,11742,4.25,4,0.0272,black,0.901,0.25,1,4,1.9,1204.2,2.4,1.74,1,
Amlodipin_05_01_prepped,amlodipin_5mg,preprocessed,rgb,optics-thr,optics-threshold,12450,810,15.37,7,0.0161,white,0.438,1.0,3,3,0.3,1.9,0.3,0.12,1,
Amlodipin_05_01_prepped,amlodipin_5mg,preprocessed,rgb,optics-xi05,optics-xi,12450,810,15.37,53,0.0015,white,0.438,1.0,3,3,0.3,1.9,0.5,0.13,1,
Amlodipin_05_01_prepped,amlodipin_5mg,preprocessed,rgb,optics-xi01,optics-xi,12450,810,15.37,56,0.0014,white,0.438,1.0,3,3,0.2,1.9,0.5,0.14,1,
Amlodipin_05_01_prepped,amlodipin_5mg,preprocessed,rgb,hdbscan-sm,hdbscan,12450,810,15.37,9,0.8519,gray,0.056,1.0,3,3,0.3,4.7,0,0.13,1,
Amlodipin_05_01_prepped,amlodipin_5mg,preprocessed,rgb,hdbscan-lg,hdbscan,12450,810,15.37,6,0.6917,white,0.123,1.0,3,3,0.3,6.1,0,0.13,1,
Amlodipin_05_01_prepped,amlodipin_5mg,preprocessed,rgb,shdbscan,shdbscan,12450,810,15.37,11,0.8757,white,0.024,1.0,3,3,0.3,95.8,0,0.22,1,
Amlodipin_05_01_prepped,amlodipin_5mg,preprocessed,rgb,soptics,soptics,12450,810,15.37,8,0.01,white,0.438,1.0,3,3,0.2,35.7,0.3,0.18,1,
Amlodipin_05_01_prepped,amlodipin_5mg,preprocessed,lab,optics-thr,optics-threshold,12450,810,15.37,7,0.0125,white,0.438,1.0,3,3,0.3,2.1,0.3,0.14,1,
Amlodipin_05_01_prepped,amlodipin_5mg,preprocessed,lab,optics-xi05,optics-xi,12450,810,15.37,78,0.0025,white,0.568,1.0,3,3,0.2,2.1,0.5,0.14,1,
Amlodipin_05_01_prepped,amlodipin_5mg,preprocessed,lab,optics-xi01,optics-xi,12450,810,15.37,108,0.0009,white,0.589,1.0,3,3,0.2,2.1,0.6,0.12,1,
Amlodipin_05_01_prepped,amlodipin_5mg,preprocessed,lab,hdbscan-sm,hdbscan,12450,810,15.37,14,0.8616,white,0.024,1.0,3,3,0.3,5.6,0,0.12,1,
Amlodipin_05_01_prepped,amlodipin_5mg,preprocessed,lab,hdbscan-lg,hdbscan,12450,810,15.37,6,0.6795,white,0.124,1.0,3,3,0.2,6.0,0,0.12,1,
Amlodipin_05_01_prepped,amlodipin_5mg,preprocessed,lab,shdbscan,shdbscan,12450,810,15.37,11,0.8604,gray,0.037,1.0,3,3,0.2,87.1,0,0.22,1,
Amlodipin_05_01_prepped,amlodipin_5mg,preprocessed,lab,soptics,soptics,12450,810,15.37,5,0.0155,white,0.548,1.0,3,3,0.3,43.0,0.3,0.18,1,
Amlodipin_05_02_prepped,amlodipin_5mg,preprocessed,rgb,optics-thr,optics-threshold,12045,741,16.26,16,0.031,white,0.438,1.0,3,3,0.3,1.2,0.3,0.12,1,
Amlodipin_05_02_prepped,amlodipin_5mg,preprocessed,rgb,optics-xi05,optics-xi,12045,741,16.26,50,0.0113,white,0.438,1.0,3,3,0.3,1.2,0.3,0.11,1,
Amlodipin_05_02_prepped,amlodipin_5mg,preprocessed,rgb,optics-xi01,optics-xi,12045,741,16.26,50,0.0113,white,0.438,1.0,3,3,0.2,1.2,0.3,0.13,1,
Amlodipin_05_02_prepped,amlodipin_5mg,preprocessed,rgb,hdbscan-sm,hdbscan,12045,741,16.26,11,0.8389,white,0.053,0.667,2,3,0.2,4.6,0,0.12,1,
Amlodipin_05_02_prepped,amlodipin_5mg,preprocessed,rgb,hdbscan-lg,hdbscan,12045,741,16.26,7,0.6808,white,0.16,1.0,3,3,0.3,5.6,0,0.12,1,
Amlodipin_05_02_prepped,amlodipin_5mg,preprocessed,rgb,shdbscan,shdbscan,12045,741,16.26,10,0.8506,white,0.053,0.667,2,3,0.3,69.9,0,0.19,1,
Amlodipin_05_02_prepped,amlodipin_5mg,preprocessed,rgb,soptics,soptics,12045,741,16.26,9,0.0129,white,0.437,1.0,3,3,0.3,35.2,0.3,0.17,1,
Amlodipin_05_02_prepped,amlodipin_5mg,preprocessed,lab,optics-thr,optics-threshold,12045,741,16.26,16,0.0196,white,0.441,1.0,3,3,0.2,1.2,0.3,0.12,1,
Amlodipin_05_02_prepped,amlodipin_5mg,preprocessed,lab,optics-xi05,optics-xi,12045,741,16.26,82,0.0174,white,0.438,1.0,3,3,0.3,1.2,0.4,0.12,1,
Amlodipin_05_02_prepped,amlodipin_5mg,preprocessed,lab,optics-xi01,optics-xi,12045,741,16.26,94,0.0174,white,0.438,1.0,3,3,0.3,1.2,0.5,0.12,1,
Amlodipin_05_02_prepped,amlodipin_5mg,preprocessed,lab,hdbscan-sm,hdbscan,12045,741,16.26,11,0.8484,white,0.053,0.667,2,3,0.2,4.7,0,0.12,1,
Amlodipin_05_02_prepped,amlodipin_5mg,preprocessed,lab,hdbscan-lg,hdbscan,12045,741,16.26,7,0.679,white,0.16,1.0,3,3,0.3,3.8,0,0.11,1,
Amlodipin_05_02_prepped,amlodipin_5mg,preprocessed,lab,shdbscan,shdbscan,12045,741,16.26,12,0.8564,white,0.053,0.667,2,3,0.3,69.6,0,0.2,1,
Amlodipin_05_02_prepped,amlodipin_5mg,preprocessed,lab,soptics,soptics,12045,741,16.26,10,0.0099,white,0.526,1.0,3,3,0.3,40.7,0.3,0.18,1,
Amlodipin_05_03_prepped,amlodipin_5mg,preprocessed,rgb,optics-thr,optics-threshold,11753,624,18.83,7,0.0123,white,0.437,1.0,3,3,0.2,1.2,0.2,0.11,1,
Amlodipin_05_03_prepped,amlodipin_5mg,preprocessed,rgb,optics-xi05,optics-xi,11753,624,18.83,46,0.0043,white,0.437,1.0,3,3,0.2,1.2,0.4,0.13,1,
Amlodipin_05_03_prepped,amlodipin_5mg,preprocessed,rgb,optics-xi01,optics-xi,11753,624,18.83,45,0.0043,white,0.437,1.0,3,3,0.3,1.2,0.4,0.13,1,
Amlodipin_05_03_prepped,amlodipin_5mg,preprocessed,rgb,hdbscan-sm,hdbscan,11753,624,18.83,9,0.886,white,0.039,0.667,2,3,0.3,5.3,0,0.12,1,
Amlodipin_05_03_prepped,amlodipin_5mg,preprocessed,rgb,hdbscan-lg,hdbscan,11753,624,18.83,7,0.7019,white,0.133,1.0,3,3,0.3,5.2,0,0.12,1,
Amlodipin_05_03_prepped,amlodipin_5mg,preprocessed,rgb,shdbscan,shdbscan,11753,624,18.83,8,0.8838,gray,0.039,0.667,2,3,0.3,58.9,0,0.18,1,
Amlodipin_05_03_prepped,amlodipin_5mg,preprocessed,rgb,soptics,soptics,11753,624,18.83,7,0.0117,white,0.437,1.0,3,3,0.3,34.1,0.3,0.16,1,
Amlodipin_05_03_prepped,amlodipin_5mg,preprocessed,lab,optics-thr,optics-threshold,11753,624,18.83,7,0.013,white,0.435,1.0,3,3,0.2,1.3,0.3,0.12,1,
Amlodipin_05_03_prepped,amlodipin_5mg,preprocessed,lab,optics-xi05,optics-xi,11753,624,18.83,67,0.0117,white,0.437,1.0,3,3,0.3,1.4,0.4,0.13,1,
Amlodipin_05_03_prepped,amlodipin_5mg,preprocessed,lab,optics-xi01,optics-xi,11753,624,18.83,89,0.0016,white,0.437,1.0,3,3,0.2,1.4,0.4,0.12,1,
Amlodipin_05_03_prepped,amlodipin_5mg,preprocessed,lab,hdbscan-sm,hdbscan,11753,624,18.83,8,0.8788,white,0.039,0.667,2,3,0.2,3.3,0,0.11,1,
Amlodipin_05_03_prepped,amlodipin_5mg,preprocessed,lab,hdbscan-lg,hdbscan,11753,624,18.83,7,0.6902,white,0.132,1.0,3,3,0.3,3.7,0,0.12,1,
Amlodipin_05_03_prepped,amlodipin_5mg,preprocessed,lab,shdbscan,shdbscan,11753,624,18.83,10,0.8722,white,0.039,0.667,2,3,0.2,64.5,0,0.19,1,
Amlodipin_05_03_prepped,amlodipin_5mg,preprocessed,lab,soptics,soptics,11753,624,18.83,7,0.0117,white,0.436,1.0,3,3,0.3,33.0,0.2,0.16,1,
Amlodipin_10_01_prepped,amlodipin_10mg,preprocessed,rgb,optics-thr,optics-threshold,12540,727,17.25,10,0.0347,white,0.449,1.0,3,3,0.3,1.1,0.3,0.12,1,
Amlodipin_10_01_prepped,amlodipin_10mg,preprocessed,rgb,optics-xi05,optics-xi,12540,727,17.25,50,0.014,white,0.45,1.0,3,3,0.3,1.1,0.4,0.13,1,
Amlodipin_10_01_prepped,amlodipin_10mg,preprocessed,rgb,optics-xi01,optics-xi,12540,727,17.25,50,0.014,white,0.45,1.0,3,3,0.3,1.1,0.4,0.14,1,
Amlodipin_10_01_prepped,amlodipin_10mg,preprocessed,rgb,hdbscan-sm,hdbscan,12540,727,17.25,11,0.8778,white,0.04,1.0,3,3,0.3,4.1,0,0.12,1,
Amlodipin_10_01_prepped,amlodipin_10mg,preprocessed,rgb,hdbscan-lg,hdbscan,12540,727,17.25,6,0.7107,white,0.083,1.0,3,3,0.3,5.1,0,0.11,1,
Amlodipin_10_01_prepped,amlodipin_10mg,preprocessed,rgb,shdbscan,shdbscan,12540,727,17.25,11,0.8719,white,0.04,1.0,3,3,0.3,67.8,0,0.2,1,
Amlodipin_10_01_prepped,amlodipin_10mg,preprocessed,rgb,soptics,soptics,12540,727,17.25,10,0.01,white,0.449,1.0,3,3,0.3,35.9,0.3,0.17,1,
Amlodipin_10_01_prepped,amlodipin_10mg,preprocessed,lab,optics-thr,optics-threshold,12540,727,17.25,8,0.0157,white,0.451,1.0,3,3,0.3,1.5,0.3,0.13,1,
Amlodipin_10_01_prepped,amlodipin_10mg,preprocessed,lab,optics-xi05,optics-xi,12540,727,17.25,89,0.0055,white,0.451,1.0,3,3,0.3,1.5,0.5,0.13,1,
Amlodipin_10_01_prepped,amlodipin_10mg,preprocessed,lab,optics-xi01,optics-xi,12540,727,17.25,117,0.002,white,0.607,1.0,3,3,0.2,1.5,0.6,0.17,1,
Amlodipin_10_01_prepped,amlodipin_10mg,preprocessed,lab,hdbscan-sm,hdbscan,12540,727,17.25,11,0.8808,white,0.035,1.0,3,3,0.2,4.2,0,0.12,1,
Amlodipin_10_01_prepped,amlodipin_10mg,preprocessed,lab,hdbscan-lg,hdbscan,12540,727,17.25,7,0.7278,white,0.083,1.0,3,3,0.2,4.6,0,0.11,1,
Amlodipin_10_01_prepped,amlodipin_10mg,preprocessed,lab,shdbscan,shdbscan,12540,727,17.25,14,0.8904,white,0.02,1.0,3,3,0.3,77.2,0,0.21,1,
Amlodipin_10_01_prepped,amlodipin_10mg,preprocessed,lab,soptics,soptics,12540,727,17.25,8,0.0128,white,0.523,1.0,3,3,0.3,41.5,0.3,0.18,1,
Amlodipin_10_02_prepped,amlodipin_10mg,preprocessed,rgb,optics-thr,optics-threshold,11840,814,14.55,12,0.0288,white,0.431,1.0,3,3,0.3,1.5,0.3,0.12,1,
Amlodipin_10_02_prepped,amlodipin_10mg,preprocessed,rgb,optics-xi05,optics-xi,11840,814,14.55,54,0.0046,white,0.529,1.0,3,3,0.3,1.5,0.4,0.12,1,
Amlodipin_10_02_prepped,amlodipin_10mg,preprocessed,rgb,optics-xi01,optics-xi,11840,814,14.55,54,0.0046,white,0.529,1.0,3,3,0.2,1.5,0.4,0.13,1,
Amlodipin_10_02_prepped,amlodipin_10mg,preprocessed,rgb,hdbscan-sm,hdbscan,11840,814,14.55,13,0.8699,gray,0.032,0.667,2,3,0.3,5.3,0,0.11,1,
Amlodipin_10_02_prepped,amlodipin_10mg,preprocessed,rgb,hdbscan-lg,hdbscan,11840,814,14.55,10,0.6198,white,0.161,1.0,3,3,0.2,4.9,0,0.16,1,
Amlodipin_10_02_prepped,amlodipin_10mg,preprocessed,rgb,shdbscan,shdbscan,11840,814,14.55,14,0.8675,gray,0.031,0.667,2,3,0.3,80.7,0,0.19,1,
Amlodipin_10_02_prepped,amlodipin_10mg,preprocessed,rgb,soptics,soptics,11840,814,14.55,7,0.0127,white,0.431,1.0,3,3,0.3,38.0,0.3,0.15,1,
Amlodipin_10_02_prepped,amlodipin_10mg,preprocessed,lab,optics-thr,optics-threshold,11840,814,14.55,9,0.0223,white,0.431,1.0,3,3,0.3,1.7,0.3,0.12,1,
Amlodipin_10_02_prepped,amlodipin_10mg,preprocessed,lab,optics-xi05,optics-xi,11840,814,14.55,78,0.0087,white,0.527,1.0,3,3,0.3,1.7,0.4,0.12,1,
Amlodipin_10_02_prepped,amlodipin_10mg,preprocessed,lab,optics-xi01,optics-xi,11840,814,14.55,102,0.0054,white,0.552,1.0,3,3,0.2,1.7,0.6,0.12,1,
Amlodipin_10_02_prepped,amlodipin_10mg,preprocessed,lab,hdbscan-sm,hdbscan,11840,814,14.55,13,0.8812,white,0.025,0.667,2,3,0.3,5.1,0,0.11,1,
Amlodipin_10_02_prepped,amlodipin_10mg,preprocessed,lab,hdbscan-lg,hdbscan,11840,814,14.55,6,0.5878,white,0.162,1.0,3,3,0.2,5.7,0,0.11,1,
Amlodipin_10_02_prepped,amlodipin_10mg,preprocessed,lab,shdbscan,shdbscan,11840,814,14.55,13,0.8765,white,0.025,0.667,2,3,0.3,87.7,0,0.22,1,
Amlodipin_10_02_prepped,amlodipin_10mg,preprocessed,lab,soptics,soptics,11840,814,14.55,6,0.0205,white,0.519,1.0,3,3,0.3,38.1,0.3,0.17,1,
